Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree
2025-10-09 09:15:35.823,SHORT,-24.099999999998545,-10844.999999999345,SL,3.16
2025-10-09 09:27:03.179,SHORT,-21.0,-9450.0,SL,2.48
2025-10-09 09:36:08.547,SHORT,-21.0,-9450.0,SL,2.32
2025-10-09 09:44:24.759,SHORT,23.599999999998545,10619.999999999345,TIME,2.6
2025-10-09 10:19:59.769,SHORT,-22.299999999999272,-10034.999999999673,SL,2.48
2025-10-09 10:30:35.262,SHORT,-22.0,-9900.0,SL,2.16
2025-10-09 10:44:50.539,SHORT,-22.599999999998545,-10169.999999999345,SL,2.56
2025-10-09 11:07:37.788,SHORT,-23.099999999998545,-10394.999999999345,SL,2.48
2025-10-09 11:14:54.807,SHORT,-21.19999999999709,-9539.99999999869,SL,2.24
2025-10-09 11:43:45.852,LONG,-21.0,-9450.0,SL,2.84
2025-10-09 12:02:00.633,SHORT,13.400000000001455,6030.000000000655,TIME,2.6
2025-10-09 12:38:51.536,LONG,-9.099999999998545,-4094.999999999345,TIME,2.08
2025-10-09 13:16:55.669,SHORT,-21.30000000000291,-9585.00000000131,SL,2.0
2025-10-09 13:39:00.632,SHORT,-21.799999999999272,-9809.999999999673,SL,2.4
2025-10-09 14:05:47.674,LONG,-21.200000000000728,-9540.000000000327,SL,2.32
2025-10-09 14:16:34.586,SHORT,5.799999999999272,2609.9999999996726,TIME,2.68
2025-10-09 14:52:22.104,LONG,12.799999999999272,5759.999999999673,TIME,2.32
2025-10-10 09:15:27.155,SHORT,-22.30000000000291,-10035.00000000131,SL,3.28
2025-10-10 09:22:20.202,LONG,59.5,26775.0,TP,2.6
2025-10-10 09:52:36.513,SHORT,-24.900000000001455,-11205.000000000655,SL,2.12
2025-10-10 10:23:19.272,SHORT,-5.900000000001455,-2655.000000000655,TIME,2.4
2025-10-10 10:59:29.678,SHORT,-21.0,-9450.0,SL,2.24
2025-10-10 11:21:24.528,SHORT,1.7999999999992724,809.9999999996726,TIME,2.28
2025-10-10 12:03:11.500,SHORT,-0.2999999999992724,-134.99999999967258,TIME,2.12
2025-10-10 12:41:58.813,SHORT,-21.099999999998545,-9494.999999999345,SL,2.16
2025-10-10 12:49:51.835,SHORT,8.5,3825.0,TIME,2.36
2025-10-10 13:28:53.329,SHORT,-21.299999999999272,-9584.999999999673,SL,2.32
2025-10-10 13:38:57.850,SHORT,14.900000000001455,6705.000000000655,TIME,2.32
2025-10-10 14:15:21.634,SHORT,4.900000000001455,2205.000000000655,TIME,2.08
2025-10-10 14:53:44.681,SHORT,10.0,4500.0,TIME,2.16
2025-10-13 09:15:35.705,LONG,-21.900000000001455,-9855.000000000655,SL,2.76
2025-10-13 09:21:53.465,LONG,-21.0,-9450.0,SL,2.52
2025-10-13 09:36:21.493,SHORT,-21.299999999999272,-9584.999999999673,SL,2.8
2025-10-13 09:44:37.965,LONG,-21.400000000001455,-9630.000000000655,SL,2.64
2025-10-13 10:01:40.971,LONG,15.700000000000728,7065.000000000327,TIME,2.6
2025-10-13 10:39:09.985,SHORT,20.5,9225.0,TIME,2.32
2025-10-13 11:15:38.545,SHORT,15.0,6750.0,TIME,2.32
2025-10-13 11:52:04.112,SHORT,3.5,1575.0,TIME,2.16
2025-10-13 12:29:34.096,SHORT,-16.0,-7200.0,TIME,2.04
2025-10-13 13:05:05.341,SHORT,-21.5,-9675.0,SL,2.04
2025-10-13 13:23:20.910,LONG,11.0,4950.0,TIME,2.84
2025-10-13 14:01:56.153,SHORT,-21.0,-9450.0,SL,2.2
2025-10-13 14:14:08.159,SHORT,-21.0,-9450.0,SL,2.16
2025-10-13 14:30:58.414,SHORT,29.799999999999272,13409.999999999673,TIME,2.64
2025-10-13 15:06:42.411,SHORT,-22.400000000001455,-10080.000000000655,SL,2.28
2025-10-14 09:15:35.479,LONG,-21.0,-9450.0,SL,3.04
2025-10-14 09:45:38.311,SHORT,-23.200000000000728,-10440.000000000327,SL,2.76
2025-10-14 09:51:42.543,SHORT,59.70000000000073,26865.000000000327,TP,2.48
2025-10-14 10:23:32.278,SHORT,-21.0,-9450.0,SL,2.4
2025-10-14 10:33:30.291,SHORT,-23.0,-10350.0,SL,2.24
2025-10-14 10:52:04.051,SHORT,59.0,26550.0,TP,2.32
2025-10-14 11:23:11.475,SHORT,7.700000000000728,3465.0000000003274,TIME,2.68
2025-10-14 11:58:56.020,SHORT,56.5,25425.0,TIME,2.28
2025-10-14 12:34:53.331,SHORT,13.299999999999272,5984.999999999673,TIME,2.4
2025-10-14 13:12:43.052,SHORT,-21.0,-9450.0,SL,2.4
2025-10-14 13:36:04.353,LONG,-22.200000000000728,-9990.000000000327,SL,2.48
2025-10-14 13:55:19.876,SHORT,-21.400000000001455,-9630.000000000655,SL,2.36
2025-10-14 14:07:20.632,LONG,-21.299999999999272,-9584.999999999673,SL,2.12
2025-10-14 14:17:23.444,SHORT,-21.0,-9450.0,SL,2.28
2025-10-14 14:31:30.680,LONG,11.200000000000728,5040.000000000327,TIME,2.4
2025-10-15 09:16:15.023,SHORT,-21.0,-9450.0,SL,3.28
