Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-10-15 09:34:54.441,SHORT,25353.0,25338.0,14.0,6300.0,TARGET
2025-10-15 09:54:55.192,LONG,25325.0,25318.0,-8.0,-3600.0,STOP
2025-10-15 10:15:03.974,LONG,25351.0,25370.2,18.200000000000728,8190.000000000327,TARGET
2025-10-15 10:38:23.488,LONG,25394.0,25387.0,-8.0,-3600.0,STOP
2025-10-15 11:03:10.975,SHORT,25410.0,25395.0,14.0,6300.0,TARGET
2025-10-15 11:29:03.256,LONG,25427.0,25420.0,-8.0,-3600.0,STOP
2025-10-15 11:55:36.255,LONG,25419.8,25412.0,-8.799999999999272,-3959.9999999996726,STOP
2025-10-15 12:17:03.787,SHORT,25392.8,25400.0,-8.200000000000728,-3690.0000000003274,STOP
2025-10-15 12:42:19.036,LONG,25414.0,25429.0,14.0,6300.0,TARGET
2025-10-15 13:14:41.634,SHORT,25421.8,25428.9,-8.100000000002183,-3645.0000000009823,STOP
2025-10-15 13:33:46.605,LONG,25455.0,25448.0,-8.0,-3600.0,STOP
2025-10-15 14:01:38.881,SHORT,25422.0,25430.1,-9.099999999998545,-4094.999999999345,STOP
2025-10-15 14:21:01.352,SHORT,25418.0,25425.0,-8.0,-3600.0,STOP
2025-10-15 14:48:35.498,SHORT,25411.1,25415.2,-5.100000000002183,-2295.0000000009823,TIME
2025-10-15 15:25:04.622,SHORT,25424.1,25431.1,-8.0,-3600.0,STOP
2025-10-16 09:17:14.705,LONG,25505.0,25498.0,-8.0,-3600.0,STOP
2025-10-16 09:38:52.530,SHORT,25507.0,25492.0,14.0,6300.0,TARGET
2025-10-16 09:58:12.376,SHORT,25515.0,25522.0,-8.0,-3600.0,STOP
2025-10-16 10:14:37.590,SHORT,25500.5,25507.9,-8.400000000001455,-3780.000000000655,STOP
2025-10-16 10:37:23.564,SHORT,25527.9,25535.0,-8.099999999998545,-3644.999999999345,STOP
2025-10-16 10:56:28.432,LONG,25542.0,25535.0,-8.0,-3600.0,STOP
2025-10-16 11:14:47.897,SHORT,25540.1,25548.0,-8.900000000001455,-4005.000000000655,STOP
2025-10-16 11:51:32.363,LONG,25541.5,25549.8,7.299999999999272,3284.9999999996726,TIME
2025-10-16 12:38:25.064,LONG,25603.0,25595.7,-8.299999999999272,-3734.9999999996726,STOP
2025-10-16 13:11:53.709,LONG,25608.0,25601.0,-8.0,-3600.0,STOP
2025-10-16 13:41:57.200,SHORT,25613.0,25620.0,-8.0,-3600.0,STOP
2025-10-16 14:04:48.968,LONG,25639.6,25655.0,14.400000000001455,6480.000000000655,TARGET
2025-10-16 14:23:41.484,LONG,25657.5,25672.6,14.099999999998545,6344.999999999345,TARGET
2025-10-16 14:50:42.763,SHORT,25672.2,25679.9,-8.700000000000728,-3915.0000000003274,STOP
2025-10-16 15:09:16.847,SHORT,25654.0,25661.9,-8.900000000001455,-4005.000000000655,STOP
2025-10-17 09:15:51.331,LONG,25607.8,25600.0,-8.799999999999272,-3959.9999999996726,STOP
2025-10-17 09:33:01.200,SHORT,25654.0,25661.7,-8.700000000000728,-3915.0000000003274,STOP
2025-10-17 09:52:05.501,LONG,25635.0,25650.0,14.0,6300.0,TARGET
2025-10-17 10:13:43.458,LONG,25729.0,25722.0,-8.0,-3600.0,STOP
2025-10-17 10:32:15.338,SHORT,25740.8,25748.0,-8.200000000000728,-3690.0000000003274,STOP
2025-10-17 10:51:49.184,LONG,25755.0,25770.0,14.0,6300.0,TARGET
2025-10-17 11:12:55.942,LONG,25821.0,25813.0,-9.0,-4050.0,STOP
2025-10-17 11:41:08.721,SHORT,25826.0,25811.0,14.0,6300.0,TARGET
2025-10-17 11:58:20.490,LONG,25808.0,25800.4,-8.599999999998545,-3869.999999999345,STOP
2025-10-17 12:15:43.012,SHORT,25817.0,25824.9,-8.900000000001455,-4005.000000000655,STOP
2025-10-17 12:41:19.965,SHORT,25803.0,25810.0,-8.0,-3600.0,STOP
