Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason,Cumulative PnL,Peak,Drawdown
2025-09-18,2025-09-18 14:51:40.810,2025-09-18 15:21:44.444,LONG,25470.3,25512.1,40.79999999999927,18359.999999999673,TIME,-70065.00000001505,59939.99999999214,-130005.00000000719
2025-09-22,2025-09-22 09:15:54.694,2025-09-22 09:24:46.202,SHORT,25328.9,25349.9,-22.0,-9900.0,SL,-79965.00000001505,59939.99999999214,-139905.0000000072
2025-09-22,2025-09-22 09:33:01.723,2025-09-22 10:03:02.506,LONG,25365.0,25376.1,10.099999999998545,4544.999999999345,TIME,-75420.0000000157,59939.99999999214,-135360.00000000786
2025-09-22,2025-09-22 10:11:41.738,2025-09-22 10:22:05.753,LONG,25387.5,25366.2,-22.299999999999272,-10034.999999999673,SL,-85455.00000001537,59939.99999999214,-145395.0000000075
2025-09-22,2025-09-22 10:30:05.261,2025-09-22 11:00:06.255,LONG,25385.0,25379.0,-7.0,-3150.0,TIME,-88605.00000001537,59939.99999999214,-148545.0000000075
2025-09-22,2025-09-22 11:09:39.519,2025-09-22 11:21:50.758,LONG,25375.0,25350.0,-26.0,-11700.0,SL,-100305.00000001537,59939.99999999214,-160245.0000000075
2025-09-22,2025-09-22 11:32:59.569,2025-09-22 12:02:59.772,LONG,25347.0,25359.8,11.799999999999272,5309.999999999673,TIME,-94995.00000001569,59939.99999999214,-154935.00000000783
2025-09-22,2025-09-22 12:09:09.576,2025-09-22 12:39:11.109,LONG,25357.1,25359.6,1.5,675.0,TIME,-94320.00000001569,59939.99999999214,-154260.00000000783
2025-09-22,2025-09-22 12:45:28.341,2025-09-22 13:15:28.606,LONG,25375.0,25373.5,-2.5,-1125.0,TIME,-95445.00000001569,59939.99999999214,-155385.00000000783
2025-09-22,2025-09-22 13:23:49.932,2025-09-22 13:53:50.617,LONG,25355.0,25357.0,1.0,450.0,TIME,-94995.00000001569,59939.99999999214,-154935.00000000783
